[DEBUG] 2023-02-26 01:25:29.975 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.rvutracker.entity.User:email]
[DEBUG] 2023-02-26 01:25:29.975 [main] SimpleValueBinder - building SimpleValue for email
[DEBUG] 2023-02-26 01:25:29.975 [main] PropertyBinder - Building property email
[DEBUG] 2023-02-26 01:25:29.976 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=firstName, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.976 [main] PropertyBinder - MetadataSourceProcessor property firstName with lazy=false
[DEBUG] 2023-02-26 01:25:29.976 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.rvutracker.entity.User:firstName]
[DEBUG] 2023-02-26 01:25:29.976 [main] SimpleValueBinder - building SimpleValue for firstName
[DEBUG] 2023-02-26 01:25:29.976 [main] PropertyBinder - Building property firstName
[DEBUG] 2023-02-26 01:25:29.976 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=lastName, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.976 [main] PropertyBinder - MetadataSourceProcessor property lastName with lazy=false
[DEBUG] 2023-02-26 01:25:29.976 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.rvutracker.entity.User:lastName]
[DEBUG] 2023-02-26 01:25:29.977 [main] SimpleValueBinder - building SimpleValue for lastName
[DEBUG] 2023-02-26 01:25:29.977 [main] PropertyBinder - Building property lastName
[DEBUG] 2023-02-26 01:25:29.977 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=password, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.977 [main] PropertyBinder - MetadataSourceProcessor property password with lazy=false
[DEBUG] 2023-02-26 01:25:29.977 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.rvutracker.entity.User:password]
[DEBUG] 2023-02-26 01:25:29.977 [main] SimpleValueBinder - building SimpleValue for password
[DEBUG] 2023-02-26 01:25:29.977 [main] PropertyBinder - Building property password
[DEBUG] 2023-02-26 01:25:29.979 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2023-02-26 01:25:29.979 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=patients, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.981 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=null, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.991 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=element, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.991 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=patients_KEY, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.992 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='patients_KEY', referencedColumn='null', mappedBy='null'}
[DEBUG] 2023-02-26 01:25:29.993 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2023-02-26 01:25:29.993 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2023-02-26 01:25:29.994 [main] CollectionBinder - Collection role: com.rvutracker.entity.User.patients
[DEBUG] 2023-02-26 01:25:29.997 [main] PropertyBinder - Building property patients
[DEBUG] 2023-02-26 01:25:30.000 [main] AnnotationBinder - Binding entity from annotated class: com.rvutracker.entity.Patient
[DEBUG] 2023-02-26 01:25:30.000 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2023-02-26 01:25:30.000 [main] EntityBinder - Import with entity name Patient
[DEBUG] 2023-02-26 01:25:30.000 [main] EntityBinder - Bind entity com.rvutracker.entity.Patient on table patient
[DEBUG] 2023-02-26 01:25:30.005 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(patient), mappingColumn=id, insertable=true, updatable=true, unique=false}
